PurchaseID,Date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35
13,1/7/2000,sugar,fruits,all- purpose,aluminum foil,laundry detergent,individual meals,flour,pork,shampoo,sugar,aluminum foil,shampoo,soap,bagels,toilet paper,juice,ice cream,ice cream,sandwich loaves,soap,sugar,paper towels,vegetables,,,,,,,,,,,,
14,1/7/2000,fruits,dinner rolls,individual meals,shampoo,ketchup,cereals,sandwich bags,laundry detergent,vegetables,sandwich loaves,cheeses,vegetables,,,,,,,,,,,,,,,,,,,,,,,
15,1/7/2000,individual meals,ice cream,cereals,paper towels,bagels,mixes,lunch meat,juice,toilet paper,cheeses,paper towels,paper towels,juice,aluminum foil,fruits,butter,sandwich loaves,tortillas,spaghetti sauce,hand soap,,,,,,,,,,,,,,,
16,1/8/2000,sugar,sandwich bags,flour,juice,milk,paper towels,cereals,sandwich bags,pasta,soda,dishwashing liquid/detergent,ice cream,soap,cheeses,beef,flour,dinner rolls,,,,,,,,,,,,,,,,,,
17,1/8/2000,milk,hand soap,pasta,individual meals,spaghetti sauce,cereals,sandwich loaves,hand soap,individual meals,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1/8/2000,sandwich bags,toilet paper,bagels,shampoo,coffee/tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1/9/2000,individual meals,laundry detergent,coffee/tea,eggs,aluminum foil,beef,juice,flour,sugar,individual meals,waffles,bagels,vegetables,coffee/tea,spaghetti sauce,butter,beef,,,,,,,,,,,,,,,,,,
20,1/10/2000,shampoo,dishwashing liquid/detergent,yogurt,juice,sugar,soap,sandwich loaves,butter,sandwich loaves,coffee/tea,ketchup,aluminum foil,dishwashing liquid/detergent,mixes,laundry detergent,shampoo,cheeses,tortillas,toilet paper,hand soap,paper towels,beef,individual meals,toilet paper,soda,cheeses,vegetables,aluminum foil,toilet paper,soap,poultry,aluminum foil,,,
21,1/11/2000,waffles,fruits,all- purpose,pork,juice,bagels,mixes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1/11/2000,cheeses,vegetables,cereals,sugar,bagels,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1/11/2000,vegetables,vegetables,aluminum foil,bagels,vegetables,shampoo,shampoo,vegetables,dishwashing liquid/detergent,cereals,cheeses,flour,lunch meat,pasta,soda,vegetables,toilet paper,poultry,coffee/tea,flour,all- purpose,waffles,coffee/tea,milk,yogurt,vegetables,mixes,pasta,dishwashing liquid/detergent,dishwashing liquid/detergent,dishwashing liquid/detergent,,,,
24,1/11/2000,fruits,all- purpose,pasta,cheeses,juice,sandwich bags,vegetables,sandwich loaves,coffee/tea,juice,lunch meat,spaghetti sauce,paper towels,hand soap,soap,ice cream,individual meals,ketchup,butter,poultry,cheeses,bagels,all- purpose,ketchup,waffles,soap,,,,,,,,,
25,1/11/2000,bagels,sugar,pork,sandwich loaves,tortillas,ice cream,all- purpose,yogurt,fruits,pasta,lunch meat,dishwashing liquid/detergent,juice,vegetables,vegetables,,,,,,,,,,,,,,,,,,,,
26,1/12/2000,fruits,sandwich loaves,vegetables,coffee/tea,aluminum foil,vegetables,shampoo,cereals,dinner rolls,coffee/tea,poultry,butter,juice,paper towels,vegetables,beef,mixes,lunch meat,bagels,tortillas,aluminum foil,individual meals,beef,juice,soda,hand soap,dinner rolls,flour,poultry,sandwich loaves,sugar,yogurt,,,
27,1/13/2000,laundry detergent,pork,pasta,cheeses,fruits,sugar,lunch meat,laundry detergent,paper towels,butter,sandwich loaves,ice cream,waffles,all- purpose,sandwich bags,lunch meat,sandwich loaves,poultry,vegetables,shampoo,dinner rolls,milk,soda,mixes,,,,,,,,,,,
28,1/13/2000,pork,bagels,poultry,pasta,butter,all- purpose,pasta,shampoo,sugar,ketchup,eggs,soda,tortillas,soap,individual meals,ketchup,butter,mixes,juice,lunch meat,cereals,waffles,shampoo,shampoo,toilet paper,poultry,lunch meat,,,,,,,,
29,1/13/2000,pasta,butter,sandwich loaves,spaghetti sauce,juice,dinner rolls,all- purpose,pork,yogurt,vegetables,spaghetti sauce,vegetables,,,,,,,,,,,,,,,,,,,,,,,
30,1/14/2000,flour,bagels,cheeses,sandwich loaves,toilet paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1/15/2000,aluminum foil,eggs,ice cream,pasta,juice,waffles,shampoo,dinner rolls,soda,vegetables,laundry detergent,hand soap,waffles,cereals,vegetables,toilet paper,individual meals,yogurt,spaghetti sauce,ice cream,soda,lunch meat,paper towels,,,,,,,,,,,,
32,1/15/2000,soap,paper towels,individual meals,dinner rolls,vegetables,lunch meat,sugar,soap,eggs,beef,yogurt,soda,sandwich loaves,aluminum foil,dinner rolls,soap,cheeses,sandwich loaves,ice cream,ketchup,,,,,,,,,,,,,,,
33,1/15/2000,sandwich loaves,pork,sandwich bags,ketchup,coffee/tea,vegetables,soda,poultry,pasta,all- purpose,coffee/tea,paper towels,individual meals,vegetables,poultry,flour,aluminum foil,soap,yogurt,mixes,soda,,,,,,,,,,,,,,
34,1/16/2000,lunch meat,mixes,vegetables,soap,hand soap,tortillas,coffee/tea,cheeses,tortillas,cheeses,ice cream,tortillas,beef,yogurt,spaghetti sauce,soda,eggs,,,,,,,,,,,,,,,,,,
35,1/16/2000,aluminum foil,cheeses,cereals,mixes,laundry detergent,juice,pork,bagels,sandwich loaves,yogurt,milk,sandwich loaves,spaghetti sauce,cereals,individual meals,eggs,,,,,,,,,,,,,,,,,,,
36,1/17/2000,soap,vegetables,lunch meat,flour,juice,yogurt,shampoo,spaghetti sauce,ketchup,laundry detergent,dinner rolls,ketchup,vegetables,shampoo,sugar,flour,sandwich bags,paper towels,pork,vegetables,butter,dinner rolls,pork,all- purpose,hand soap,sandwich bags,all- purpose,,,,,,,,
37,1/17/2000,fruits,lunch meat,dinner rolls,shampoo,vegetables,hand soap,mixes,vegetables,pasta,sugar,vegetables,,,,,,,,,,,,,,,,,,,,,,,,
38,1/17/2000,eggs,hand soap,dinner rolls,hand soap,lunch meat,laundry detergent,pasta,aluminum foil,toilet paper,cereals,coffee/tea,toilet paper,vegetables,juice,lunch meat,soda,pork,fruits,spaghetti sauce,laundry detergent,butter,tortillas,individual meals,aluminum foil,toilet paper,poultry,toilet paper,toilet paper,,,,,,,
39,1/18/2000,coffee/tea,milk,dinner rolls,beef,coffee/tea,waffles,beef,eggs,sandwich bags,tortillas,vegetables,tortillas,all- purpose,vegetables,yogurt,cheeses,mixes,ketchup,waffles,aluminum foil,hand soap,hand soap,pork,vegetables,butter,,,,,,,,,,
40,1/18/2000,hand soap,sandwich bags,poultry,beef,coffee/tea,mixes,poultry,sandwich loaves,shampoo,ice cream,poultry,shampoo,,,,,,,,,,,,,,,,,,,,,,,
41,1/18/2000,milk,hand soap,fruits,poultry,coffee/tea,sugar,tortillas,soda,individual meals,tortillas,milk,toilet paper,soda,poultry,coffee/tea,spaghetti sauce,cheeses,flour,lunch meat,,,,,,,,,,,,,,,,
42,1/18/2000,cereals,shampoo,waffles,bagels,mixes,shampoo,mixes,beef,dinner rolls,beef,shampoo,aluminum foil,individual meals,sugar,spaghetti sauce,juice,tortillas,shampoo,sandwich loaves,sandwich loaves,cheeses,waffles,vegetables,cheeses,individual meals,pasta,paper towels,beef,juice,paper towels,ice cream,aluminum foil,,,
43,1/19/2000,toilet paper,butter,ketchup,shampoo,juice,mixes,milk,shampoo,tortillas,laundry detergent,flour,cereals,soap,toilet paper,butter,coffee/tea,cheeses,soap,soap,butter,sandwich loaves,milk,vegetables,cereals,dinner rolls,poultry,dishwashing liquid/detergent,,,,,,,,
44,1/19/2000,butter,hand soap,waffles,laundry detergent,shampoo,lunch meat,cheeses,vegetables,hand soap,cereals,vegetables,dishwashing liquid/detergent,soda,spaghetti sauce,aluminum foil,laundry detergent,flour,poultry,juice,,,,,,,,,,,,,,,,
45,1/20/2000,butter,cereals,toilet paper,waffles,soda,pork,yogurt,pork,all- purpose,toilet paper,vegetables,spaghetti sauce,toilet paper,vegetables,laundry detergent,coffee/tea,all- purpose,coffee/tea,eggs,pork,eggs,all- purpose,vegetables,soda,beef,,,,,,,,,,
46,1/20/2000,hand soap,spaghetti sauce,sandwich bags,ice cream,fruits,soap,cheeses,waffles,tortillas,sugar,toilet paper,ketchup,beef,beef,poultry,milk,dinner rolls,dinner rolls,eggs,soap,paper towels,sandwich bags,soda,,,,,,,,,,,,
47,1/21/2000,soda,waffles,vegetables,beef,fruits,sandwich loaves,ketchup,cheeses,sugar,shampoo,butter,laundry detergent,poultry,waffles,soap,vegetables,butter,lunch meat,aluminum foil,waffles,all- purpose,flour,ice cream,dishwashing liquid/detergent,lunch meat,dishwashing liquid/detergent,paper towels,all- purpose,sugar,shampoo,,,,,
48,1/22/2000,beef,mixes,individual meals,laundry detergent,coffee/tea,hand soap,pasta,individual meals,cereals,spaghetti sauce,pasta,cereals,fruits,flour,vegetables,soap,individual meals,ketchup,,,,,,,,,,,,,,,,,
49,1/23/2000,laundry detergent,aluminum foil,sandwich bags,all- purpose,shampoo,beef,sandwich loaves,aluminum foil,ice cream,fruits,lunch meat,all- purpose,bagels,vegetables,sandwich loaves,waffles,pork,,,,,,,,,,,,,,,,,,
50,1/23/2000,vegetables,cereals,beef,flour,sugar,beef,eggs,aluminum foil,vegetables,pork,soda,mixes,vegetables,ketchup,vegetables,vegetables,,,,,,,,,,,,,,,,,,,
51,1/24/2000,sandwich bags,sugar,pasta,sandwich loaves,mixes,butter,pasta,aluminum foil,tortillas,paper towels,yogurt,coffee/tea,sandwich bags,soda,poultry,aluminum foil,tortillas,eggs,flour,dishwashing liquid/detergent,sugar,shampoo,vegetables,aluminum foil,,,,,,,,,,,
52,1/25/2000,hand soap,cereals,mixes,cereals,pork,cheeses,poultry,all- purpose,ketchup,dishwashing liquid/detergent,hand soap,beef,ketchup,mixes,ice cream,sandwich loaves,butter,dinner rolls,,,,,,,,,,,,,,,,,
53,1/26/2000,flour,flour,butter,vegetables,lunch meat,toilet paper,tortillas,laundry detergent,milk,poultry,laundry detergent,milk,soda,butter,spaghetti sauce,bagels,sugar,fruits,ice cream,laundry detergent,aluminum foil,dinner rolls,milk,laundry detergent,,,,,,,,,,,
54,1/27/2000,pasta,butter,waffles,aluminum foil,coffee/tea,vegetables,vegetables,mixes,paper towels,juice,tortillas,dinner rolls,eggs,shampoo,waffles,ketchup,shampoo,soda,mixes,sugar,juice,soap,mixes,vegetables,juice,,,,,,,,,,
55,1/28/2000,dishwashing liquid/detergent,tortillas,soda,beef,flour,eggs,vegetables,cheeses,lunch meat,coffee/tea,yogurt,dinner rolls,ice cream,pasta,fruits,fruits,paper towels,dishwashing liquid/detergent,soda,pasta,ice cream,poultry,,,,,,,,,,,,,
56,1/29/2000,shampoo,poultry,eggs,eggs,ketchup,beef,toilet paper,soda,pork,ice cream,hand soap,shampoo,yogurt,fruits,waffles,dinner rolls,flour,juice,eggs,sugar,,,,,,,,,,,,,,,
57,1/30/2000,shampoo,spaghetti sauce,shampoo,ice cream,waffles,soda,dishwashing liquid/detergent,lunch meat,soap,juice,all- purpose,vegetables,ketchup,individual meals,fruits,spaghetti sauce,vegetables,individual meals,cereals,vegetables,sandwich loaves,mixes,soap,cheeses,flour,all- purpose,laundry detergent,spaghetti sauce,vegetables,soda,pasta,laundry detergent,hand soap,,
58,1/30/2000,individual meals,all- purpose,dishwashing liquid/detergent,soap,vegetables,milk,shampoo,coffee/tea,spaghetti sauce,aluminum foil,ice cream,pasta,all- purpose,eggs,tortillas,poultry,sandwich bags,coffee/tea,sugar,ice cream,toilet paper,fruits,shampoo,lunch meat,paper towels,bagels,tortillas,poultry,beef,all- purpose,,,,,
59,1/30/2000,soap,sandwich loaves,laundry detergent,ice cream,spaghetti sauce,milk,vegetables,all- purpose,cereals,hand soap,waffles,cereals,lunch meat,poultry,milk,dinner rolls,lunch meat,sandwich loaves,aluminum foil,sandwich bags,,,,,,,,,,,,,,,
60,1/30/2000,milk,flour,laundry detergent,poultry,milk,cheeses,pork,cereals,aluminum foil,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1/31/2000,juice,fruits,all- purpose,juice,toilet paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1/31/2000,tortillas,laundry detergent,laundry detergent,spaghetti sauce,beef,cheeses,shampoo,vegetables,waffles,cereals,sandwich bags,pasta,fruits,soap,vegetables,cheeses,vegetables,waffles,waffles,cereals,vegetables,shampoo,sandwich bags,vegetables,hand soap,cheeses,sandwich loaves,hand soap,waffles,soda,ice cream,,,,
63,2/1/2000,juice,yogurt,ice cream,ice cream,toilet paper,ice cream,coffee/tea,sandwich bags,soda,ketchup,aluminum foil,all- purpose,pork,eggs,waffles,,,,,,,,,,,,,,,,,,,,
64,2/2/2000,ketchup,butter,flour,vegetables,bagels,sandwich bags,ice cream,sandwich loaves,flour,individual meals,ice cream,cheeses,milk,sandwich bags,poultry,vegetables,soda,cheeses,vegetables,all- purpose,aluminum foil,,,,,,,,,,,,,,
65,2/3/2000,cereals,hand soap,shampoo,beef,paper towels,mixes,lunch meat,pasta,shampoo,hand soap,pasta,milk,toilet paper,butter,eggs,,,,,,,,,,,,,,,,,,,,
66,2/3/2000,individual meals,hand soap,fruits,sandwich loaves,lunch meat,vegetables,individual meals,individual meals,sugar,fruits,cereals,ketchup,laundry detergent,cheeses,cheeses,poultry,hand soap,sandwich loaves,cheeses,mixes,mixes,beef,hand soap,shampoo,beef,,,,,,,,,,
67,2/3/2000,flour,cereals,yogurt,mixes,yogurt,sandwich loaves,hand soap,sugar,mixes,shampoo,all- purpose,pasta,cheeses,flour,poultry,poultry,dishwashing liquid/detergent,all- purpose,cheeses,coffee/tea,individual meals,spaghetti sauce,paper towels,dinner rolls,bagels,hand soap,hand soap,dinner rolls,,,,,,,
68,2/3/2000,paper towels,lunch meat,sandwich bags,yogurt,ice cream,ice cream,individual meals,sugar,dishwashing liquid/detergent,flour,vegetables,paper towels,fruits,cheeses,vegetables,juice,bagels,cereals,all- purpose,waffles,eggs,eggs,dishwashing liquid/detergent,vegetables,eggs,eggs,shampoo,sandwich bags,sandwich loaves,flour,sandwich bags,vegetables,,,
69,2/4/2000,juice,milk,yogurt,sugar,laundry detergent,vegetables,dishwashing liquid/detergent,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2/4/2000,pork,soda,ketchup,poultry,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2/4/2000,tortillas,toilet paper,all- purpose,vegetables,juice,bagels,cheeses,fruits,vegetables,toilet paper,shampoo,eggs,butter,shampoo,butter,fruits,sugar,pasta,,,,,,,,,,,,,,,,,
72,2/4/2000,beef,pasta,sugar,ketchup,waffles,all- purpose,vegetables,fruits,sandwich bags,sandwich bags,hand soap,dishwashing liquid/detergent,butter,,,,,,,,,,,,,,,,,,,,,,
73,2/5/2000,vegetables,ketchup,milk,cereals,dishwashing liquid/detergent,butter,ice cream,laundry detergent,butter,aluminum foil,cereals,vegetables,spaghetti sauce,hand soap,mixes,ketchup,coffee/tea,bagels,toilet paper,juice,mixes,pork,,,,,,,,,,,,,
74,2/6/2000,sandwich bags,vegetables,vegetables,ketchup,yogurt,cheeses,juice,all- purpose,mixes,ketchup,mixes,shampoo,milk,fruits,vegetables,pork,coffee/tea,beef,bagels,sandwich loaves,juice,cheeses,dinner rolls,vegetables,poultry,aluminum foil,milk,vegetables,ice cream,poultry,aluminum foil,,,,
75,2/6/2000,juice,individual meals,coffee/tea,lunch meat,butter,paper towels,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2/7/2000,bagels,laundry detergent,yogurt,toilet paper,tortillas,dinner rolls,tortillas,tortillas,soap,fruits,sandwich bags,vegetables,dishwashing liquid/detergent,milk,ketchup,soap,tortillas,spaghetti sauce,paper towels,coffee/tea,dinner rolls,eggs,toilet paper,waffles,beef,bagels,,,,,,,,,
77,2/7/2000,hand soap,dishwashing liquid/detergent,ketchup,dishwashing liquid/detergent,sugar,mixes,all- purpose,fruits,cereals,ice cream,lunch meat,sugar,,,,,,,,,,,,,,,,,,,,,,,
78,2/8/2000,fruits,dishwashing liquid/detergent,fruits,mixes,bagels,beef,ice cream,individual meals,bagels,butter,,,,,,,,,,,,,,,,,,,,,,,,,
79,2/9/2000,juice,toilet paper,butter,lunch meat,individual meals,toilet paper,butter,poultry,cheeses,laundry detergent,spaghetti sauce,waffles,sandwich loaves,,,,,,,,,,,,,,,,,,,,,,
80,2/9/2000,dishwashing liquid/detergent,all- purpose,paper towels,ketchup,beef,soap,pork,waffles,lunch meat,cheeses,shampoo,spaghetti sauce,pork,poultry,all- purpose,poultry,vegetables,fruits,vegetables,dinner rolls,pasta,lunch meat,sandwich bags,sandwich loaves,fruits,butter,individual meals,,,,,,,,
81,2/10/2000,paper towels,vegetables,ketchup,soda,fruits,aluminum foil,yogurt,bagels,yogurt,milk,eggs,dishwashing liquid/detergent,,,,,,,,,,,,,,,,,,,,,,,
82,2/11/2000,pork,soda,bagels,milk,fruits,pasta,spaghetti sauce,soap,cheeses,spaghetti sauce,juice,fruits,beef,toilet paper,dishwashing liquid/detergent,flour,sandwich loaves,tortillas,mixes,waffles,toilet paper,ketchup,sandwich bags,,,,,,,,,,,,
83,2/11/2000,cereals,all- purpose,vegetables,individual meals,vegetables,toilet paper,pork,sandwich bags,paper towels,toilet paper,shampoo,coffee/tea,shampoo,juice,waffles,beef,,,,,,,,,,,,,,,,,,,
84,2/12/2000,flour,soap,cheeses,sandwich loaves,aluminum foil,bagels,tortillas,individual meals,hand soap,butter,,,,,,,,,,,,,,,,,,,,,,,,,
85,2/13/2000,dishwashing liquid/detergent,aluminum foil,pork,fruits,sandwich bags,poultry,coffee/tea,bagels,hand soap,vegetables,mixes,ketchup,waffles,paper towels,tortillas,waffles,tortillas,beef,ketchup,toilet paper,eggs,,,,,,,,,,,,,,
86,2/14/2000,yogurt,ketchup,all- purpose,beef,shampoo,sandwich loaves,coffee/tea,ketchup,vegetables,milk,butter,vegetables,pork,yogurt,vegetables,ice cream,pasta,,,,,,,,,,,,,,,,,,
87,2/15/2000,milk,individual meals,shampoo,beef,sandwich bags,eggs,vegetables,shampoo,sandwich loaves,ketchup,poultry,dishwashing liquid/detergent,beef,lunch meat,cereals,individual meals,spaghetti sauce,shampoo,sandwich loaves,tortillas,,,,,,,,,,,,,,,
88,2/16/2000,poultry,individual meals,sugar,spaghetti sauce,pasta,vegetables,cheeses,cheeses,fruits,fruits,lunch meat,vegetables,fruits,spaghetti sauce,individual meals,beef,coffee/tea,cereals,beef,dishwashing liquid/detergent,hand soap,tortillas,,,,,,,,,,,,,
89,2/17/2000,paper towels,beef,aluminum foil,dishwashing liquid/detergent,eggs,juice,laundry detergent,beef,soda,laundry detergent,aluminum foil,soap,,,,,,,,,,,,,,,,,,,,,,,
90,2/17/2000,pasta,paper towels,individual meals,individual meals,aluminum foil,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2/17/2000,lunch meat,cereals,sugar,tortillas,coffee/tea,sandwich loaves,dishwashing liquid/detergent,dishwashing liquid/detergent,dinner rolls,vegetables,mixes,all- purpose,ice cream,,,,,,,,,,,,,,,,,,,,,,
92,2/18/2000,coffee/tea,bagels,shampoo,sandwich bags,soap,ice cream,juice,shampoo,spaghetti sauce,vegetables,yogurt,ketchup,,,,,,,,,,,,,,,,,,,,,,,
93,2/18/2000,toilet paper,bagels,soda,vegetables,shampoo,vegetables,poultry,eggs,waffles,lunch meat,dinner rolls,beef,butter,,,,,,,,,,,,,,,,,,,,,,
94,2/19/2000,dishwashing liquid/detergent,tortillas,waffles,vegetables,pork,beef,mixes,vegetables,poultry,soap,toilet paper,waffles,vegetables,ketchup,poultry,sandwich bags,individual meals,sugar,spaghetti sauce,butter,beef,flour,flour,sugar,vegetables,sugar,sandwich bags,individual meals,paper towels,sugar,tortillas,ice cream,soda,,
95,2/19/2000,dinner rolls,ketchup,laundry detergent,pork,cheeses,shampoo,juice,yogurt,juice,eggs,coffee/tea,sandwich bags,flour,vegetables,beef,poultry,hand soap,pork,mixes,tortillas,lunch meat,dinner rolls,individual meals,soap,pasta,milk,sugar,all- purpose,,,,,,,
96,2/19/2000,milk,soap,pork,tortillas,soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2/20/2000,hand soap,fruits,paper towels,sugar,individual meals,hand soap,milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2/21/2000,fruits,coffee/tea,pork,aluminum foil,cheeses,soda,soda,bagels,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2/22/2000,dinner rolls,laundry detergent,juice,ketchup,cheeses,aluminum foil,waffles,pasta,vegetables,yogurt,eggs,aluminum foil,tortillas,toilet paper,paper towels,sandwich bags,aluminum foil,all- purpose,ice cream,dishwashing liquid/detergent,cheeses,vegetables,bagels,,,,,,,,,,,,
100,2/22/2000,paper towels,eggs,tortillas,vegetables,soda,vegetables,cereals,vegetables,mixes,toilet paper,bagels,dinner rolls,,,,,,,,,,,,,,,,,,,,,,,
101,2/22/2000,yogurt,butter,cereals,cereals,vegetables,lunch meat,milk,milk,ice cream,butter,butter,poultry,paper towels,cheeses,lunch meat,waffles,beef,mixes,cereals,ice cream,cereals,coffee/tea,,,,,,,,,,,,,
102,2/22/2000,flour,cereals,lunch meat,sandwich loaves,vegetables,vegetables,pork,butter,poultry,soap,toilet paper,,,,,,,,,,,,,,,,,,,,,,,,
103,2/22/2000,lunch meat,sandwich bags,flour,all- purpose,shampoo,coffee/tea,bagels,shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2/22/2000,hand soap,dishwashing liquid/detergent,toilet paper,spaghetti sauce,mixes,all- purpose,cheeses,toilet paper,toilet paper,vegetables,coffee/tea,lunch meat,spaghetti sauce,flour,individual meals,yogurt,hand soap,aluminum foil,paper towels,sugar,pork,sandwich loaves,paper towels,yogurt,all- purpose,eggs,milk,coffee/tea,juice,ketchup,bagels,soap,,,
105,2/23/2000,individual meals,cereals,ketchup,shampoo,dishwashing liquid/detergent,bagels,beef,eggs,pasta,dishwashing liquid/detergent,individual meals,waffles,soap,milk,pork,cereals,aluminum foil,soda,mixes,vegetables,,,,,,,,,,,,,,,
106,2/23/2000,shampoo,cheeses,cereals,sugar,soap,hand soap,sugar,spaghetti sauce,milk,coffee/tea,aluminum foil,soda,cereals,ice cream,vegetables,lunch meat,sandwich bags,yogurt,pork,pork,hand soap,bagels,pasta,mixes,tortillas,lunch meat,spaghetti sauce,vegetables,waffles,sugar,lunch meat,,,,
107,2/24/2000,flour,ketchup,lunch meat,juice,waffles,sandwich loaves,vegetables,vegetables,cheeses,vegetables,pork,lunch meat,beef,tortillas,bagels,fruits,dishwashing liquid/detergent,shampoo,ice cream,ketchup,spaghetti sauce,all- purpose,butter,beef,,,,,,,,,,,
108,2/25/2000,tortillas,pasta,all- purpose,bagels,lunch meat,poultry,paper towels,coffee/tea,sugar,cereals,vegetables,hand soap,dishwashing liquid/detergent,mixes,bagels,,,,,,,,,,,,,,,,,,,,
109,2/26/2000,lunch meat,poultry,vegetables,pork,vegetables,vegetables,vegetables,individual meals,hand soap,vegetables,hand soap,pasta,all- purpose,toilet paper,mixes,spaghetti sauce,juice,spaghetti sauce,tortillas,,,,,,,,,,,,,,,,
110,2/26/2000,lunch meat,laundry detergent,cereals,toilet paper,sandwich bags,poultry,vegetables,ketchup,mixes,dishwashing liquid/detergent,poultry,pork,flour,lunch meat,eggs,waffles,vegetables,vegetables,yogurt,vegetables,lunch meat,,,,,,,,,,,,,,
111,2/27/2000,waffles,fruits,dishwashing liquid/detergent,mixes,vegetables,waffles,poultry,soda,pork,sugar,poultry,flour,dishwashing liquid/detergent,hand soap,bagels,coffee/tea,dinner rolls,beef,flour,,,,,,,,,,,,,,,,
112,2/27/2000,cheeses,pork,aluminum foil,fruits,aluminum foil,cereals,lunch meat,coffee/tea,yogurt,bagels,sugar,sugar,eggs,sugar,fruits,toilet paper,hand soap,vegetables,all- purpose,milk,pasta,sandwich loaves,soap,milk,coffee/tea,ketchup,bagels,flour,,,,,,,
